antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Minahassa Peninsula - Sulawesi, Northern Sumatra - Indonesia, Sumba Region - Indonesia, Timor Region","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06277405954304177,0.3526425109623817,0.04038772213247173,0.6433823529411765,1.8244605597474595,1.0,0.01825092015191142,1.8152704847240435,0.4821599183874486,0.1076923076923077,0.44911790919576394,0.3789555743763474
"Flores Sea, Irian Jaya Region - Indonesia, Java - Indonesia","Northern Sumatra - Indonesia, Sumbawa Region - Indonesia",0.06646665128086776,0.3544888068312947,0.0429263789522271,0.6458333333333334,1.821872287326389,1.0,0.01936469504560054,1.822619839535168,0.48323298377128276,0.11355311355311358,0.4513392325110238,0.3834635416666667
"Java - Indonesia, Minahassa Peninsula - Sulawesi, Near North Coast of Irian Jaya, Northern Molucca Sea, Northern Sumatra - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.0696976690514655,0.3526425109623817,0.044772674821140085,0.6423841059602649,1.8216297978572171,1.0,0.02019431379860621,1.8102033489755622,0.48483275235481715,0.11858190709046455,0.44757587562418094,0.38467372837280256
"Minahassa Peninsula - Sulawesi, Near North Coast of Irian Jaya, Northern Molucca Sea, Northern Sumatra - Indonesia, Southern Sumatra - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06438956842834063,0.3526425109623817,0.041310870066928226,0.6415770609318997,1.8193412336504722,1.0,0.018604370976574088,1.8061273944149556,0.48134403430779465,0.10995085995085996,0.4463291996498828,0.3793618288952692
"Banda Sea, Minahassa Peninsula - Sulawesi, Northern Molucca Sea, Northern Sumatra - Indonesia, Sumba Region - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.07015924301869375,0.3526425109623817,0.04500346180475421,0.6414473684210525,1.8189734603196472,1.0,0.020262330179422097,1.8054740978663848,0.484211263213497,0.11912034208918755,0.4461288582418612,0.38453258473408647
"Halmahera - Indonesia, Java - Indonesia, Near North Coast of Irian Jaya, Southern Sumatra - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06462035541195477,0.3526425109623817,0.041310870066928226,0.6392857142857143,1.8128435863874348,1.0,0.018522985675174967,1.7946544250547838,0.4793566252737817,0.10988336402701045,0.44278966131907316,0.3782161555721765
"Halmahera - Indonesia, Northern Sumatra - Indonesia, Southern Sumatra - Indonesia, Sumba Region - Indonesia","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.06577429033002538,0.3526425109623817,0.0420032310177706,0.6385964912280703,1.8108891338293382,1.0,0.018808420119021747,1.7912318871429251,0.4793114494201452,0.11158798283261803,0.4417249898364451,0.3788532194360247
"Banda Sea, Flores Sea, Minahassa Peninsula - Sulawesi, Northern Molucca Sea","Sulawesi - Indonesia, Sumbawa Region - Indonesia",0.0696976690514655,0.3526425109623817,0.044311100853911836,0.6357615894039734,1.8028501092195137,1.0,0.019732739831377962,1.77729056081237,0.4786860167038783,0.1172161172161172,0.4373457992468509,0.3807080198328768
"Halmahera - Indonesia, Irian Jaya Region - Indonesia, Java - Indonesia, Northern Molucca Sea, Sumbawa Region - Indonesia","Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.06623586429725363,0.37110546965151164,0.044311100853911836,0.6689895470383276,1.8026938478340009,1.0,0.019730609326105736,1.899923475894907,0.4768598615916955,0.11274221961244861,0.4736630118594765,0.39419626605647723
"Flores Region - Indonesia, Halmahera - Indonesia, Java - Indonesia, Southern Sumatra - Indonesia, Sumbawa Region - Indonesia","Northern Sumatra - Indonesia, Sulawesi - Indonesia",0.06323563351027002,0.37110546965151164,0.042234018001384724,0.6678832116788321,1.799712659331082,1.0,0.018766928528845102,1.8935945199503934,0.47435167347202545,0.10771041789287818,0.47190383713922196,0.39084459091404294
